"","TCGA-44-5645-01A-01R-1628-07","TCGA-55-8087-01A-11R-2241-07","TCGA-86-8668-01A-11R-2403-07","TCGA-97-8552-01A-11R-2403-07","TCGA-67-3770-01A-01R-0946-07","TCGA-97-A4M1-01A-11R-A24X-07","TCGA-97-A4M7-01A-11R-A24X-07","TCGA-64-1681-01A-11R-2066-07","TCGA-44-A4SU-01A-11R-A24X-07","TCGA-44-5645-01A-01R-A278-07","TCGA-44-2661-01A-01R-1107-07","TCGA-L9-A50W-01A-12R-A39D-07","TCGA-86-8280-01A-11R-2287-07","TCGA-78-7158-01A-11R-2039-07","TCGA-97-A4M6-01A-11R-A24X-07","TCGA-O1-A52J-01A-11R-A262-07","TCGA-91-8496-01A-11R-2403-07","TCGA-44-6147-01A-11R-1755-07","TCGA-MP-A4T6-01A-32R-A262-07","TCGA-75-7025-01A-12R-1949-07","TCGA-75-6212-01A-11R-1755-07","TCGA-MP-A4SW-01A-21R-A24X-07","TCGA-93-A4JP-01A-11R-A24X-07","TCGA-97-8171-01A-11R-2287-07","TCGA-55-A57B-01A-12R-A39D-07","TCGA-62-8397-01A-11R-2326-07","TCGA-55-8206-01A-11R-2241-07","TCGA-44-6147-01A-11R-A278-07","TCGA-67-6217-01A-11R-1755-07","TCGA-55-7570-01A-11R-2039-07","TCGA-38-4627-01A-01R-1206-07","TCGA-78-7155-01A-11R-2039-07","TCGA-69-7765-01A-11R-2170-07","TCGA-95-7039-01A-11R-1949-07","TCGA-50-6673-01A-11R-1949-07","TCGA-38-4628-01A-01R-1206-07","TCGA-49-4494-01A-01R-1206-07","TCGA-86-8055-01A-11R-2241-07","TCGA-86-8075-01A-11R-2241-07","TCGA-62-8394-01A-11R-2326-07","TCGA-05-4425-01A-01R-1755-07","TCGA-05-4402-01A-01R-1206-07","TCGA-50-5933-01A-11R-1755-07","TCGA-05-4382-01A-01R-1206-07","TCGA-38-4629-01A-02R-1206-07","TCGA-55-8506-01A-11R-2403-07","TCGA-86-8074-01A-11R-2241-07","TCGA-62-8402-01A-11R-2326-07","TCGA-50-5066-01A-01R-1628-07","TCGA-75-6207-01A-11R-1755-07","TCGA-50-6591-01A-11R-1755-07","TCGA-50-6595-01A-12R-1858-07","TCGA-49-6743-01A-11R-1858-07","TCGA-69-7760-01A-11R-2170-07","TCGA-55-6981-01A-11R-1949-07","TCGA-67-3771-01A-01R-0946-07"
"CAPN3",10.56,7.34,13.05,24.44,7.56,29.49,12.32,4.3,16.26,9.74,7.67,11.26,7.75,9.09,11,31.69,10.02,3.89,19.27,25.29,9.49,10.95,20.58,12.15,31.33,4.49,25.22,4.17,8.79,1.41,0.43,0.37,2.3,2.43,1.35,0.17,0.38,1.78,3.09,2.32,1.2,1.47,0.92,2,0.46,3.43,1.6,2.63,0.52,3.22,0.59,0.36,1.41,4.66,3.4,3.33
"AL365205.1",1.27,2.08,1.57,3.12,2.18,2.66,2.01,1.39,1.75,1.73,0.65,2.37,2.53,1.39,1.53,3.57,1.49,0.99,2.65,2.18,0.62,2.12,1.92,8.68,4.91,4.41,2.32,1.18,2.22,0.55,0.21,0.1,0.21,0.29,0.48,0.26,0.16,0.41,0.52,0.56,0.77,0.73,0.13,0.32,0.09,0.58,0.64,0.53,0.19,0.59,0.47,0.15,0.14,0.59,0.75,0.63
"RN7SKP51",0.35,1.39,0.66,0.5,0.11,1.51,1.09,0.36,0.9,0.56,1.05,0.44,0.14,1.17,0.4,1.76,0.13,0.21,0.21,1.06,0.5,0.78,0.22,1.05,1.44,0.96,1.14,0.39,0.39,0.09,0.05,0.01,0.07,0.12,0.15,0.04,0.04,0.1,0.03,0.26,0.04,0.09,0.01,0.1,0.04,0.1,0.2,0.01,0.02,0.06,0.01,0.02,0.17,0.07,0.11,0.01
"C2orf92",3.53,8.62,8.1,5.73,5.8,10.44,8.18,2.45,9.89,3.49,3.79,7.83,3.9,5.88,9.09,7.84,3.19,3.89,10.39,9.03,2.29,7.6,5.32,8.64,13.24,7.1,5.18,4.08,8.92,2.05,0.47,1.74,2.99,1.05,1,0.85,0.61,1.45,2.51,2.92,1.2,1.36,0.78,1.82,0.36,3.52,1.51,1.16,1.59,2.45,1.57,0.8,2.06,2.62,1.99,2.15
"CARF",10.99,14.69,12.61,14.5,21,11.22,16.15,9.55,17.71,14.25,13.49,10.69,8.31,15.9,12.4,8.8,12.92,10.99,12.39,20.04,8.02,12.18,12.11,11.24,14.48,6.56,11.3,16.25,16,6.88,5.8,2.94,7.48,6.26,4.68,6.33,5.66,9.3,8.71,6.17,5.46,6.23,5.92,3.94,4.28,5.32,7.44,6.74,9.42,5.55,4.48,3.62,5.15,6.32,5.71,4.36
"CSPG4P10",8.92,4.86,6.14,29.28,9.06,10.56,9.06,8.94,15.89,9.27,4.85,2.46,5.61,4.46,7.65,10.05,2.77,4.82,15.59,5.76,7.78,10.27,3.84,3.42,8.46,6.56,5.64,3.72,6.13,4.31,1.03,0.85,1.94,2.12,1.08,0.55,0.74,2,1.27,0.73,1.87,1.06,1.49,1.54,0.36,0.88,2.73,2.82,0.39,1.53,1.74,0.39,0.76,2.85,2.46,4.2
"PHYKPL",56.07,65.13,44.77,65.2,69.84,88.54,65.31,25.36,70.16,52.3,41.97,52.36,39.47,51.29,54.92,77.41,42.06,34.14,55.69,57.73,42.03,66.77,44.29,65.2,43.32,60.8,60.3,33.41,45.53,16.48,28.11,10.48,28.61,26.77,19.65,24.84,22.12,33.75,30.32,31.02,24.39,16.74,23.26,27.68,22.61,21.6,36.95,26.95,27.83,30.65,16.6,16.06,21.81,31.88,29.8,27.38
"MIR29B2CHG",26.75,15.92,30.25,17.63,10.95,32.38,20.15,5.84,28.16,97.36,7.32,12.66,5.97,13.48,15.59,25.46,8.21,11.68,27.38,34.86,7.62,8.55,19.62,39.51,10.94,15.38,15.72,45.2,36.85,2.17,1.2,0.19,5.67,2.23,1.43,0.32,0.36,1.31,3.69,1.03,2.94,3.53,1.21,1.71,1.14,2.77,1.89,2.04,1.51,3.96,1.51,0.39,1.62,46.58,3.62,8.21
"AC011379.2",4.07,4.21,1.13,3.8,1.96,19.67,4.92,2.1,8.4,4.02,2.44,3.21,4.39,1.04,4.37,10.48,1.49,2.11,3.43,4.65,0.46,2.62,2.96,7.47,4.74,2.03,7.21,2.51,14.97,0.39,0.3,0.13,1.04,1.02,2,0.24,0.58,0.72,0.57,0.5,0.48,0.44,0.27,0.3,0.3,0.88,0.8,0.25,0.23,0.18,1.45,0.29,0.79,0.7,1.35,1.11
"CIITA",166.28,71.45,122.65,153.03,43.79,96.44,120.64,89.94,55.3,161.49,72.21,132.77,94.63,73.95,139.05,199.78,57.79,64.4,67.54,121.93,108.19,111.07,105.99,154.62,121.26,84.96,115.08,74.01,116.73,8.5,22.81,8.37,50.99,20.14,21.88,10.92,31.09,34.11,40.48,38.02,62.78,38.54,45.72,34.14,39.77,57.58,47.44,46.72,17.69,56.14,5.28,21.13,29.88,17.78,41.19,32.88
