"","TCGA-44-5645-01A-01R-1628-07","TCGA-55-8087-01A-11R-2241-07","TCGA-86-8668-01A-11R-2403-07","TCGA-97-8552-01A-11R-2403-07","TCGA-67-3770-01A-01R-0946-07","TCGA-97-A4M1-01A-11R-A24X-07","TCGA-97-A4M7-01A-11R-A24X-07","TCGA-64-1681-01A-11R-2066-07","TCGA-44-A4SU-01A-11R-A24X-07","TCGA-44-5645-01A-01R-A278-07","TCGA-44-2661-01A-01R-1107-07","TCGA-L9-A50W-01A-12R-A39D-07","TCGA-86-8280-01A-11R-2287-07","TCGA-78-7158-01A-11R-2039-07","TCGA-97-A4M6-01A-11R-A24X-07","TCGA-O1-A52J-01A-11R-A262-07","TCGA-91-8496-01A-11R-2403-07","TCGA-44-6147-01A-11R-1755-07","TCGA-MP-A4T6-01A-32R-A262-07","TCGA-75-7025-01A-12R-1949-07","TCGA-75-6212-01A-11R-1755-07","TCGA-MP-A4SW-01A-21R-A24X-07","TCGA-93-A4JP-01A-11R-A24X-07","TCGA-97-8171-01A-11R-2287-07","TCGA-55-A57B-01A-12R-A39D-07","TCGA-62-8397-01A-11R-2326-07","TCGA-55-8206-01A-11R-2241-07","TCGA-44-6147-01A-11R-A278-07","TCGA-67-6217-01A-11R-1755-07","TCGA-55-7570-01A-11R-2039-07","TCGA-38-4627-01A-01R-1206-07","TCGA-78-7155-01A-11R-2039-07","TCGA-69-7765-01A-11R-2170-07","TCGA-95-7039-01A-11R-1949-07","TCGA-50-6673-01A-11R-1949-07","TCGA-38-4628-01A-01R-1206-07","TCGA-49-4494-01A-01R-1206-07","TCGA-86-8055-01A-11R-2241-07","TCGA-86-8075-01A-11R-2241-07","TCGA-62-8394-01A-11R-2326-07","TCGA-05-4425-01A-01R-1755-07","TCGA-05-4402-01A-01R-1206-07","TCGA-50-5933-01A-11R-1755-07","TCGA-05-4382-01A-01R-1206-07","TCGA-38-4629-01A-02R-1206-07","TCGA-55-8506-01A-11R-2403-07","TCGA-86-8074-01A-11R-2241-07","TCGA-62-8402-01A-11R-2326-07","TCGA-50-5066-01A-01R-1628-07","TCGA-75-6207-01A-11R-1755-07","TCGA-50-6591-01A-11R-1755-07","TCGA-50-6595-01A-12R-1858-07","TCGA-49-6743-01A-11R-1858-07","TCGA-69-7760-01A-11R-2170-07","TCGA-55-6981-01A-11R-1949-07","TCGA-67-3771-01A-01R-0946-07"
"CAPN3",411,611,387,1000,171,1512,737,248,908,492,385,653,516,492,564,1449,265,179,1339,1771,238,566,1256,875,2123,58,1964,185,350,70,23,12,82,70,49,10,22,120,235,118,41,137,32,190,27,114,140,112,12,133,20,10,54,162,79,118
"AL365205.1",49,173,46,127,49,136,120,80,97,87,32,137,168,75,78,163,39,45,184,152,15,109,117,625,332,57,180,52,88,27,11,3,7,8,17,15,9,27,39,28,26,68,4,30,5,19,56,22,4,24,16,4,5,20,17,22
"RN7SKP51",13,115,19,20,2,77,65,20,50,28,52,25,9,63,20,80,3,9,14,74,12,40,13,75,97,12,88,17,15,4,2,0,2,3,5,2,2,6,2,13,1,8,0,9,2,3,17,0,0,2,0,0,6,2,2,0
"C2orf92",137,718,240,234,131,535,489,141,552,176,190,454,259,318,466,358,84,179,722,632,57,393,324,622,897,92,403,181,355,102,25,58,107,30,36,51,36,98,191,149,41,126,27,173,21,117,132,49,38,101,54,23,79,91,46,76
"CARF",428,1223,374,593,476,575,966,551,989,720,677,620,553,861,636,402,342,507,861,1403,201,630,739,809,981,85,880,722,637,343,317,98,268,181,171,384,338,630,664,315,188,581,208,375,253,177,654,288,227,230,155,106,198,220,133,155
"CSPG4P10",347,404,182,1198,205,541,542,516,887,468,243,142,373,241,392,459,73,222,1083,403,195,531,234,246,573,85,439,165,244,215,56,28,69,61,39,33,44,135,96,37,64,98,52,146,21,29,240,120,9,63,60,11,29,99,57,149
"PHYKPL",2185,5426,1329,2668,1584,4540,3909,1464,3919,2644,2108,3038,2629,2779,2819,3540,1114,1576,3871,4043,1056,3455,2703,4697,2936,792,4697,1485,1814,823,1539,351,1027,775,720,1507,1323,2288,2312,1587,842,1562,819,2639,1339,720,3250,1153,672,1272,576,472,841,1112,696,975
"MIR29B2CHG",1042,1326,898,721,248,1660,1206,337,1573,4922,367,734,397,730,800,1164,217,539,1903,2441,191,442,1197,2846,741,200,1224,2009,1468,108,65,6,203,64,52,19,21,88,281,52,101,329,42,163,67,92,166,87,36,164,52,11,62,1625,84,292
"AC011379.2",158,350,33,155,44,1008,294,121,469,203,122,186,292,56,224,479,39,97,238,325,11,135,180,538,321,26,561,111,596,19,16,4,37,29,73,14,34,48,43,25,16,41,9,28,17,29,70,10,5,7,50,8,30,24,31,39
"CIITA",6481,5952,3642,6263,993,4945,7221,5193,3089,8165,3627,7704,6304,4007,7138,9137,1531,2973,4695,8540,2719,5748,6470,11139,8219,1107,8964,3290,4652,424,1249,280,1831,583,802,662,1860,2312,3087,1945,2168,3597,1610,3255,2355,1920,4172,1999,427,2330,183,621,1152,620,962,1171
"SELENBP1",16825,84445,11175,14890,5719,42202,23105,21674,13221,13671,16203,32738,19834,40407,14628,23762,21451,11631,36555,27989,24605,22239,15490,139707,17554,8098,60730,7813,13721,982,2850,1321,3272,1673,3791,24946,8195,2235,2450,11382,5513,16534,814,7682,1167,18388,20670,2569,891,4925,956,442,3011,3327,1648,2131
"CFAP70",483,344,430,1309,77,232,1004,237,409,967,180,322,487,131,185,535,53,981,1245,1126,80,439,259,642,339,59,163,899,244,79,66,116,30,52,124,27,41,159,155,66,29,199,57,77,26,21,114,52,16,77,14,41,13,81,13,73
